,degreeID,n,rank
731,"15.1502,7",37,1696
1219,"26.1004,7",37,1697
764,"16.03,17",37,1698
2061,"5.0101,7",37,1699
350,"13.1202,17",37,1700
934,"19.0707,17",37,1701
546,"14.1003,5",37,1702
3044,"9.0908,5",37,1703
1883,"43.0205,5",36,1704
1541,"38.0103,7",36,1705
1803,"42.2805,18",36,1706
1780,"42.2707,7",36,1707
781,"16.04,7",36,1708
1856,"43.011,5",36,1709
220,"12.0599,7",36,1710
2255,"50.0711,7",35,1711
133,"10.0299,5",35,1712
2921,"52.1401,17",35,1713
593,"14.2801,17",35,1714
219,"12.0599,5",35,1715
1653,"40.0299,5",35,1716
1020,"23.1399,5",34,1717
1409,"3.0601,17",34,1718
150,"11.0102,17",34,1719
2515,"51.1506,17",34,1720
1341,"29.0202,7",34,1721
2142,"5.0203,7",34,1722
2084,"5.011,7",34,1723
372,"13.1301,17",34,1724
821,"16.0902,7",34,1725
2953,"52.1904,5",34,1726
2623,"51.2312,7",34,1727
2984,"54.0104,7",34,1728
2516,"51.1506,7",33,1729
2568,"51.2205,17",33,1730
91,"1.1099,7",33,1731
1600,"39.0702,7",33,1732
1691,"40.0599,17",33,1733
779,"16.04,17",33,1734
1764,"42.2701,7",33,1735
1291,"26.1504,7",33,1736
333,"13.1018,7",33,1737
120,"1.1299,5",33,1738
2892,"52.1005,17",33,1739
1610,"39.9999,17",32,1740
2427,"51.0811,7",32,1741
1337,"27.9999,7",32,1742
2037,"47.0607,5",32,1743
1343,"29.0207,5",32,1744
1183,"26.0902,17",32,1745
2094,"5.0114,7",32,1746
1446,"30.1401,5",32,1747
437,"13.1325,5",32,1748
1693,"40.0599,7",32,1749
1165,"26.0804,17",32,1750
1868,"43.0117,5",32,1751
1448,"30.1501,17",32,1752
2853,"52.0806,7",32,1753
472,"13.1401,17",32,1754
1427,"30.0801,17",32,1755
2221,"50.0601,17",31,1756
1187,"26.0903,7",31,1757
447,"13.1329,5",31,1758
1792,"42.2802,17",31,1759
1366,"3.0201,17",31,1760
464,"13.1337,5",31,1761
334,"13.1019,5",31,1762
2316,"50.0999,17",31,1763
874,"16.1601,7",31,1764
1746,"40.9999,17",31,1765
1067,"26.0203,7",31,1766
212,"12.0302,5",31,1767
1684,"40.0508,5",31,1768
1243,"26.1199,5",31,1769
2403,"51.0707,5",30,1770
2826,"52.0407,5",30,1771
2911,"52.1301,17",30,1772
1930,"44.0702,7",30,1773
2071,"5.0105,5",30,1774
2522,"51.1599,17",30,1775
2446,"51.0909,5",30,1776
1526,"31.0601,7",30,1777
615,"14.3801,5",30,1778
117,"1.1202,5",30,1779
1231,"26.1101,5",30,1780
760,"16.0199,7",30,1781
1234,"26.1102,5",30,1782
1278,"26.1401,17",29,1783
2081,"5.0109,5",29,1784
106,"1.1105,7",29,1785
2078,"5.0108,17",29,1786
74,"1.0905,7",29,1787
909,"19.0504,17",29,1788
914,"19.0599,5",29,1789
1853,"43.0109,5",29,1790
2518,"51.1508,17",29,1791
1946,"45.0202,5",29,1792
2157,"5.0299,17",29,1793
103,"1.1104,7",29,1794
2982,"54.0104,17",29,1795
2173,"50.0399,5",29,1796
1254,"26.1303,17",29,1797
1232,"26.1101,7",29,1798
1640,"40.0101,17",29,1799
2683,"51.3601,7",29,1800
1106,"26.0403,17",29,1801
2629,"51.2399,17",29,1802
1139,"26.0599,7",29,1803
13,"1.0106,5",29,1804
1439,"30.1202,7",29,1805
1174,"26.0807,17",29,1806
132,"10.0203,7",29,1807
603,"14.3401,5",28,1808
1725,"40.0807,5",28,1809
2554,"51.2011,5",28,1810
109,"1.1106,7",28,1811
112,"1.1199,5",28,1812
2969,"52.9999,17",28,1813
127,"10.0105,7",28,1814
624,"14.4101,5",28,1815
2647,"51.2509,7",28,1816
1630,"4.0801,7",28,1817
511,"14.0702,7",28,1818
2651,"51.2703,7",28,1819
2497,"51.1401,17",28,1820
2494,"51.1199,7",28,1821
2489,"51.1105,5",28,1822
2861,"52.0901,17",28,1823
1954,"45.0299,7",27,1824
2639,"51.2504,5",27,1825
2954,"52.1904,7",27,1826
1166,"26.0804,5",27,1827
1648,"40.0202,7",27,1828
1270,"26.1309,5",27,1829
2695,"51.3803,18",27,1830
819,"16.0902,17",27,1831
2151,"5.0209,7",27,1832
1342,"29.0206,7",27,1833
2617,"51.231,17",27,1834
1854,"43.0109,7",27,1835
1921,"44.0504,7",27,1836
1510,"31.0501,17",26,1837
476,"13.1499,5",26,1838
196,"11.1002,7",26,1839
1614,"4.0201,18",26,1840
325,"13.1014,5",26,1841
954,"19.9999,5",26,1842
2019,"45.1401,5",26,1843
1200,"26.0909,7",26,1844
