,N,D
230,193.0,26.273650697718292
231,192.3993767302557,17.46207336501419
232,191.59937325798919,21.250302389114164
233,191.0,19.08755724963663
234,190.0,19.69754967212838
235,189.79957761281028,12.186692497654919
236,189.00000000000003,17.670013795607634
237,188.7995753708325,20.50938353057179
238,187.79957310492733,22.344148193979187
239,187.00000000000003,8.390288552191455
240,186.19957127471648,33.06715171966477
241,185.79956849978657,12.476583406302776
242,184.99999999999991,22.89025816092455
243,184.99999999999991,12.136776830025235
244,184.00000000000006,18.73196382676161
245,183.00000000000009,18.738158492504397
246,181.99999999999997,18.57829519077891
247,181.59933872027898,16.491732061816617
248,180.39933530153738,16.967884538776858
249,180.0,19.07959520102822
250,178.79955156866174,28.275708690216618
251,177.99999999999997,21.433972840480617
252,177.79954904085432,20.77176911906944
253,176.7995464843866,17.35689327031153
254,175.99999999999991,19.764435930691658
255,175.59931610804054,28.774337941626165
256,175.00000000000009,21.49091888775845
257,175.00000000000009,22.356264476669356
258,175.00000000000009,9.058226612251811
259,174.19954180894885,18.263070566331397
260,172.39930448077152,20.281938235891264
261,171.79953325458968,18.692775274526298
262,170.79953051546235,17.26306672755742
263,170.00000000000006,25.64044216383437
264,169.39929217306425,11.329050135538825
265,168.39928797312348,21.332183539117008
266,167.99999999999997,19.61420020861495
267,167.19952267201103,28.161556787097567
268,166.79951922972805,24.80528481156056
269,165.79951632300256,18.998620129390016
270,164.79951338091536,22.054608359842927
271,164.00000000000006,23.760065141798474
272,163.7995104028171,21.18392202343122
273,162.7995073880424,19.81914872379115
274,161.99999999999994,18.592355912132334
275,161.59925681077823,19.472053339195256
276,160.39925248988922,16.404510963869352
277,159.99999999999994,18.475692988902384
278,159.19949874568582,13.849875960158641
279,159.0,13.190853977465103
280,158.19949558517703,17.63417168739605
281,157.59923793204226,24.002777134996837
282,156.79948848979447,16.426545309224153
283,156.0,21.457644296602055
284,156.0,22.994148702556732
285,155.59922812837343,16.854503214625087
286,155.00000000000003,17.576110358647625
287,154.39922346648362,26.44597430571447
288,154.00000000000006,15.445561596188416
289,152.99999999999997,19.27331731181282
290,152.99999999999997,22.804155877254157
291,152.1994757522527,12.814885990147221
292,152.0,12.342395392017943
293,151.39920809288236,18.850175216003734
294,151.0,23.01574238711319
295,150.7994680836961,19.607384987994546
296,149.99999999999997,20.75258924413373
297,149.59919714317016,14.308545852579659
298,149.0,23.0201881557252
299,148.39919209825956,16.642730277921174
300,147.99999999999994,13.115481896773423
301,147.99999999999994,17.093183865027985
302,146.99999999999997,27.943714187088915
303,146.99999999999997,20.579170612881725
304,146.19945429588358,18.16326638947389
305,146.0,19.959839033228512
306,146.0,14.056968875745294
307,145.39917544421024,24.478395723526976
308,144.99999999999997,26.768608073254985
309,144.99999999999997,16.795533079206475
310,144.39916973922394,26.931616070270007
311,144.0,20.78324312852904
312,143.1994428953141,19.123761403434706
313,142.39915808909535,19.22232898522083
314,142.00000000000003,24.426254295523492
315,141.39915214055944,18.79600714997236
316,141.00000000000003,12.22454009770205
317,141.00000000000003,20.15749977035785
318,139.99999999999994,15.621150838016185
319,139.99999999999994,26.227556289691435
320,139.7994261101371,15.30308149179122
321,138.99999999999997,19.456000511645286
322,138.99999999999997,22.621660284210517
323,138.5991333626189,19.235494976326777
324,138.00000000000006,28.581772436742362
325,137.39912748137556,16.47840814959176
326,137.00000000000003,19.63329720860283
327,137.00000000000003,16.642730277921174
328,136.00000000000006,19.374590381815892
329,136.00000000000006,23.099799461378105
330,136.00000000000006,15.567714870139907
331,135.00000000000003,19.955573062676205
332,135.00000000000003,22.020969481299062
333,134.3991080246832,21.00920105948463
